recording_name,audio_beat_id,audio_beat_time_s,frame_time_s,frame_index,frame_path,extraction_ok,n_peaks,n_candidate_beats,baseline,direction,error
candidate_2,2,1.4026666666666667,1.4,42,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0002_t1.403s_frame_000042.png,True,3,2,146,above,
candidate_2,3,2.3733333333333335,2.3666666666666667,71,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0003_t2.373s_frame_000071.png,True,3,2,146,above,
candidate_2,4,3.3493333333333335,3.3333333333333335,100,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0004_t3.349s_frame_000100.png,True,3,2,146,above,
candidate_2,5,4.298666666666667,4.3,129,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0005_t4.299s_frame_000129.png,True,3,2,146,above,
candidate_2,6,5.237333333333333,5.233333333333333,157,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0006_t5.237s_frame_000157.png,True,3,2,146,above,
candidate_2,7,6.176,6.166666666666667,185,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0007_t6.176s_frame_000185.png,True,3,2,146,above,
candidate_2,8,7.125333333333334,7.133333333333334,214,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0008_t7.125s_frame_000214.png,True,3,2,146,above,
candidate_2,9,8.085333333333333,8.1,243,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0009_t8.085s_frame_000243.png,True,3,2,146,above,
candidate_2,10,9.034666666666666,9.033333333333333,271,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0010_t9.035s_frame_000271.png,True,3,2,146,above,
candidate_2,11,9.973333333333333,9.966666666666667,299,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0011_t9.973s_frame_000299.png,True,3,2,146,above,
candidate_2,12,10.890666666666666,10.9,327,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0012_t10.891s_frame_000327.png,True,3,2,146,above,
candidate_2,13,11.813333333333333,11.8,354,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0013_t11.813s_frame_000354.png,True,3,2,146,above,
candidate_2,14,12.72,12.733333333333333,382,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0014_t12.720s_frame_000382.png,True,3,2,146,above,
candidate_2,15,13.616,13.6,408,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0015_t13.616s_frame_000408.png,True,3,2,146,above,
candidate_2,16,14.48,14.466666666666667,434,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0016_t14.480s_frame_000434.png,True,3,2,146,above,
candidate_2,17,15.344,15.333333333333334,460,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0017_t15.344s_frame_000460.png,True,3,2,146,above,
candidate_2,18,16.202666666666666,16.2,486,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0018_t16.203s_frame_000486.png,True,3,2,146,above,
candidate_2,19,17.072,17.066666666666666,512,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0019_t17.072s_frame_000512.png,True,3,2,146,above,
candidate_2,20,17.946666666666665,17.933333333333334,538,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0020_t17.947s_frame_000538.png,True,3,2,146,above,
candidate_2,21,18.816,18.8,564,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0021_t18.816s_frame_000564.png,True,3,2,146,above,
candidate_2,22,19.68,19.666666666666668,590,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0022_t19.680s_frame_000590.png,True,3,2,146,above,
candidate_2,23,20.549333333333333,20.533333333333335,616,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0023_t20.549s_frame_000616.png,True,3,2,146,above,
candidate_2,24,21.429333333333332,21.433333333333334,643,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0024_t21.429s_frame_000643.png,True,3,2,146,above,
candidate_2,25,22.272,22.266666666666666,668,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0025_t22.272s_frame_000668.png,True,3,2,146,above,
candidate_2,26,23.098666666666666,23.1,693,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0026_t23.099s_frame_000693.png,True,3,2,146,above,
