n_detected_beats,n_centroid_valid_beats,n_final_valid_beats,n_consecutive_final_rr,centroid_valid_fraction,final_valid_fraction,mean_rr_s,std_rr_s,mean_hr_bpm,mean_centroid_hz,max_centroid_hz,min_centroid_hz,recording_duration_s,usable_start_s,usable_end_s,segment_usable_duration_s,segment_usable_fraction,energy_threshold,qc_centroid_fraction,recording_name,candidate_id,site,repeat_id,audio_qc_ok,audio_qc_error,audio_pass_basic,audio_screening_status
58,51,44,36,0.8793103448275862,0.7586206896551724,0.8311111111111116,0.19424815489216962,72.19251336898391,762.8129036299873,860.9940164992236,643.4802807274245,45.04533333333333,0.7466666666666667,40.096,39.34933333333333,0.8737565135007104,0.2,0.8,candidate_test_01_brachial,1,brachial,1,True,,True,PASS
64,63,54,52,0.984375,0.84375,0.9501538461538461,0.07010524632386753,63.14766839378238,622.3435485364737,837.2119338168526,500.2224100085705,59.242666666666665,0.736,52.86933333333333,52.13333333333333,0.8801548712407707,0.2,0.8,candidate_test_02_brachial,2,brachial,1,True,,True,PASS
49,44,44,41,0.8979591836734694,0.8979591836734694,1.0258211382113822,0.029368428521567673,58.48972863302054,495.2510371293948,559.1765833027522,398.88651422385504,51.264,0.35733333333333334,50.784,50.42666666666666,0.9838709677419355,0.2,0.8,candidate_test_02_neck,2,neck,1,True,,True,PASS
43,42,42,41,0.9767441860465116,0.9767441860465116,1.102439024390244,0.030879996684814726,54.424778761061944,668.326861721758,779.8950048662962,566.0199251284698,46.99733333333333,0.6506666666666666,46.986666666666665,46.336,0.9861520998864927,0.2,0.8,candidate_test_03_brachial,3,brachial,1,True,,True,PASS
56,53,52,48,0.9464285714285714,0.9285714285714286,0.6024444444444444,0.14690468901407108,99.59424566580597,492.39808933260207,595.3583256686832,397.4112870008995,33.845333333333336,0.42133333333333334,32.96,32.538666666666664,0.9616960907944515,0.2,0.8,candidate_test_04_brachial_1,4,brachial,1,True,,True,PASS
54,54,54,53,1.0,1.0,0.5762012578616352,0.09130643545583475,104.13028292001397,424.51167692260395,519.5991463086434,341.7002239177177,31.733333333333334,0.4053333333333333,31.722666666666665,31.31733333333333,0.9872225958305312,0.2,0.8,candidate_test_04_brachial_2,4,brachial,2,True,,True,PASS
28,20,18,13,0.7142857142857143,0.6428571428571429,0.8361025641025642,0.12189103895709806,71.76153091265945,603.3800765782462,686.5935937644464,500.04812016003586,22.346666666666668,0.4106666666666667,21.072,20.66133333333333,0.9250238777459407,0.2,0.8,candidate_test_04_neck,4,neck,1,True,,True,PASS
50,41,36,29,0.82,0.72,0.7144827586206898,0.19797340249018155,83.97683397683396,648.3645590329105,790.7826631980403,510.2296293937226,36.704,2.970666666666667,35.818666666666665,32.848,0.895203488372093,0.2,0.8,candidate_test_05_brachial,5,brachial,1,True,,True,PASS
70,70,69,68,1.0,0.9857142857142858,0.6066666666666667,0.1733161379102674,98.90109890109889,750.1633630094426,870.9622342322466,642.980418815091,42.474666666666664,0.49066666666666664,42.464,41.97333333333333,0.9884451142928912,0.2,0.8,candidate_test_06_brachial,6,brachial,1,True,,True,PASS
60,45,40,32,0.75,0.6666666666666666,0.7056666666666667,0.23473270851000838,85.02598016060463,697.2475977380888,840.3535084138256,539.2789615540688,44.384,0.72,40.736,40.016,0.9018028846153845,0.2,0.8,candidate_test_07_brachial,7,brachial,1,True,,True,PASS
50,36,33,30,0.72,0.66,0.9521777777777777,0.17187755618750128,63.013442867811804,511.36216672806484,1194.7998869381086,359.80851608688715,45.54666666666667,0.9866666666666667,43.95733333333333,42.970666666666666,0.9436636214570157,0.2,0.8,candidate_test_08_brachial,8,brachial,1,True,,True,PASS
